State,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Alabama,203.65,194.81,188.3125,183.025,177.72,172.9475,181.485,192.205,196.6275,201.2175,193.0575,177.5025,165.34,157.695,151.23,146.47,142.5975,138.4,133.5575,129.035,125.23,120.505,116.47,111.1775,106.1525,101.9925
Alaska,251.11,247.3225,237.6725,232.1325,225.2925,224.89,220.4925,219.12,223.185,224.7275,217.5425,201.61,181.6125,165.28,154.1675,144.91,136.115,132.8375,128.955,124.71,121.59,116.6125,111.5425,107.685,103.9225,101.22
Arizona,272.595,252.97,236.2925,219.7675,188.4275,166.255,182.835,204.23,251.9825,308.6725,318.4225,277.535,213.2075,186.1375,171.825,162.1475,152.7175,144.315,136.06,129.6675,125.195,119.71,113.2875,106.435,102.64,100.4775
Arkansas,202.94,195.875,191.0425,187.4,181.5325,177.0375,178.65,185.6325,188.62,194.4175,190.66,180.5,169.15,158.4575,150.42,144.6725,139.765,135.735,131.1875,128.3075,125.4425,121.775,117.0375,110.1,104.41,101.235
California,246.5,229.745,213.795,193.56,163.0875,154.5075,165.345,166.23,191.2025,257.8,282.6475,271.125,221.9775,179.335,152.845,133.545,117.8975,104.725,94.985,87.175,85.2125,85.91,88.195,92.1,97.695,99.7275
Colorado,392.6575,356.555,319.325,294.9475,269.4125,255.4125,262.5,265.14,266.3225,276.96,275.075,265.64,252.91,243.62,237.7075,228.6175,209.595,188.2225,171.3925,161.1025,153.65,145.7075,137.2375,122.2675,109.69,101.57
Connecticut,167.6025,166.695,165.0575,163.5275,161.4975,164.8025,170.02,176.5775,186.445,197.12,197.0175,189.9075,172.3425,155.115,140.09,126.085,114.8125,105.265,97.0175,92.57,91.355,90.99,91.94,92.0825,95.9075,97.86
Delaware,193.9025,191.6525,182.9925,182.4925,175.5775,176.0325,188.345,198.16,206.6825,219.1525,218.2225,199.845,175.605,154.295,140.05,127.805,118.12,110.805,104.8775,101.405,100.3725,99.835,99.4975,99.28,100.395,100.2225
D.C.,486.7725,470.955,440.67,403.47,360.2375,332.38,325.0075,315.59,324.4925,340.585,330.13,313.2125,256.6025,208.6925,180.855,151.3075,131.0175,113.83,102.745,93.32,94.8125,91.7825,96.0375,95.2325,100.045,99.5825
Florida,263.5075,237.8775,217.405,200.2725,179.7125,168.2675,179.005,189.9275,229.86,295.61,310.9975,279.3925,222.5775,188.46,166.8575,149.66,135.7375,126.2775,119.77,114.915,112.225,109.86,107.3275,104.18,101.84,100.405
Georgia,211.0325,197.245,184.23,170.78,154.93,149.8525,161.195,174.6025,186.755,200.2325,196.845,186.78,176.4175,170.1575,163.9275,157.02,148.855,139.575,130.275,123.19,118.16,113.13,108.6925,104.9325,102.4075,100.43
Hawaii,231.2975,222.22,208.475,196.0425,179.2125,167.5,176.615,185.2475,202.835,212.7475,212.445,195.1225,157.3,125.955,108.9,98.7425,90.3575,83.8425,83.5375,82.8125,90.705,95.9,99.335,101.105,101.175,98.9275
Idaho,266.37,246.155,228.84,217.38,198.8275,183.0625,202.0375,229.69,249.245,263.0175,249.37,215.34,187.68,171.7775,163.2625,158.3975,152.8425,148.7625,144.405,141.2325,138.795,136.2475,130.7325,121.3175,111.02,102.885
Illinois,192.0675,184.5925,178.92,172.64,166.165,167.4375,177.935,185.03,198.585,211.475,209.6025,199.315,186.435,174.375,162.8275,152.635,142.7925,134.4625,127.8525,124.2,121.825,118.25,114.6875,109.55,105.1925,101.335
Indiana,186.835,177.3225,170.225,165.21,158.72,157.0775,158.28,159.85,163.2875,169.1575,167.65,163.7675,158.83,153.7675,149.4325,145.95,142.3025,137.44,132.62,128.235,124.8825,119.845,114.6,109.4375,104.5,100.785
Iowa,227.4425,217.6425,210.0925,204.31,197.49,192.0975,194.8925,196.035,197.975,199.66,196.015,189.4725,182.1825,174.6525,168.1675,162.3625,156.77,150.4425,143.3825,136.695,132.585,127.045,121.4875,114.565,107,101.77
Kansas,222.4575,210.955,202.865,194.135,190.6875,186.2925,191.2675,195.2525,196.6825,199.4375,194.155,186.1425,179.215,171.8525,165.4425,159.4325,152.74,146.58,138.72,131.0175,126.3575,121.1275,114.9525,107.95,102.9225,100.11
Kentucky,214.8875,205.175,196.2475,191.4975,186.1975,182.52,186.4125,187.6375,189.54,191.4575,188.2725,181.3475,174.005,166.0875,158.9875,153.8275,148.8875,142.7275,135.6375,130.6725,125.8075,120.8875,115.9625,109.625,104.5725,100.4225
Louisiana,266.92,256.4325,245.3525,239.09,228.12,223.2875,228.1,229.2025,231.965,235.645,225.4725,202.9775,188.7875,177.9575,168.7825,162.2675,156.675,151.2875,145.82,139.1125,134.215,127.69,122.355,115.01,108.365,102.9125
Maine,223.4875,213.3325,205.9525,201.9225,195.1225,197.29,201.0225,206.645,211.92,218.5475,218.2075,214.08,194.6425,175.6375,158.1125,141.4325,127.24,116.8,108.375,102.6425,100.9925,97.6375,97.255,96.87,100.105,100.145
Maryland,236.6625,227.62,223.7475,218.4475,206.7525,202.54,211.62,219.6475,237.29,267.9475,265.685,243.2925,202.6525,170.99,149.6225,131.9225,119.8725,112.09,106.3525,103.665,103.1075,102.375,102.8325,102.395,102.7175,101.0075
